CODICE REGIONE,CODICE COMUNE ISTAT,DENOMINAZIONE COMUNE,REGIONE,PROVINCIA,SIGLA AUTOMOBILISTICA,ANNO,POPOLAZIONE
190,083095,Sinagra,Sicilia,Messina,ME,2024,2462
190,083096,Spadafora,Sicilia,Messina,ME,2024,4648
190,083097,Taormina,Sicilia,Messina,ME,2024,10499
190,083098,Torregrotta,Sicilia,Messina,ME,2024,7297
190,083099,Tortorici,Sicilia,Messina,ME,2024,5629
190,083100,Tripi,Sicilia,Messina,ME,2024,748
190,083101,Tusa,Sicilia,Messina,ME,2024,2543
190,083102,Ucria,Sicilia,Messina,ME,2024,876
190,083103,Valdina,Sicilia,Messina,ME,2024,1258
190,083104,Venetico,Sicilia,Messina,ME,2024,3969
190,083105,Villafranca Tirrena,Sicilia,Messina,ME,2024,7918
190,083106,Terme Vigliatore,Sicilia,Messina,ME,2024,7244
190,083107,Acquedolci,Sicilia,Messina,ME,2024,5497
190,083108,Torrenova,Sicilia,Messina,ME,2024,4512
190,084001,Agrigento,Sicilia,Agrigento,AG,2024,55317
190,084002,Alessandria della Rocca,Sicilia,Agrigento,AG,2024,2382
190,084003,Aragona,Sicilia,Agrigento,AG,2024,8725
190,084004,Bivona,Sicilia,Agrigento,AG,2024,3129
190,084005,Burgio,Sicilia,Agrigento,AG,2024,2480
190,084006,Calamonaci,Sicilia,Agrigento,AG,2024,1145
190,084007,Caltabellotta,Sicilia,Agrigento,AG,2024,3148
190,084008,Camastra,Sicilia,Agrigento,AG,2024,1992
190,084009,Cammarata,Sicilia,Agrigento,AG,2024,5837
190,084010,Campobello di Licata,Sicilia,Agrigento,AG,2024,9022
190,084011,Canicattì,Sicilia,Agrigento,AG,2024,34447
190,084012,Casteltermini,Sicilia,Agrigento,AG,2024,7212
190,084013,Castrofilippo,Sicilia,Agrigento,AG,2024,2593
190,084014,Cattolica Eraclea,Sicilia,Agrigento,AG,2024,3249
190,084015,Cianciana,Sicilia,Agrigento,AG,2024,3040
190,084016,Comitini,Sicilia,Agrigento,AG,2024,846
190,084017,Favara,Sicilia,Agrigento,AG,2024,31451
190,084018,Grotte,Sicilia,Agrigento,AG,2024,5140
190,084019,Joppolo Giancaxio,Sicilia,Agrigento,AG,2024,1061
190,084020,Lampedusa e Linosa,Sicilia,Agrigento,AG,2024,6538
190,084021,Licata,Sicilia,Agrigento,AG,2024,34189
190,084022,Lucca Sicula,Sicilia,Agrigento,AG,2024,1697
190,084023,Menfi,Sicilia,Agrigento,AG,2024,11817
190,084024,Montallegro,Sicilia,Agrigento,AG,2024,2349
190,084025,Montevago,Sicilia,Agrigento,AG,2024,2661
190,084026,Naro,Sicilia,Agrigento,AG,2024,7034
190,084027,Palma di Montechiaro,Sicilia,Agrigento,AG,2024,21336
190,084028,Porto Empedocle,Sicilia,Agrigento,AG,2024,15584
190,084029,Racalmuto,Sicilia,Agrigento,AG,2024,7531
190,084030,Raffadali,Sicilia,Agrigento,AG,2024,11855
190,084031,Ravanusa,Sicilia,Agrigento,AG,2024,10259
190,084032,Realmonte,Sicilia,Agrigento,AG,2024,4378
190,084033,Ribera,Sicilia,Agrigento,AG,2024,17761
190,084034,Sambuca di Sicilia,Sicilia,Agrigento,AG,2024,5321
190,084035,San Biagio Platani,Sicilia,Agrigento,AG,2024,2829
190,084036,San Giovanni Gemini,Sicilia,Agrigento,AG,2024,7469
190,084037,Santa Elisabetta,Sicilia,Agrigento,AG,2024,2184
190,084038,Santa Margherita di Belice,Sicilia,Agrigento,AG,2024,5958
190,084039,Sant'Angelo Muxaro,Sicilia,Agrigento,AG,2024,1168
190,084040,Santo Stefano Quisquina,Sicilia,Agrigento,AG,2024,3998
190,084041,Sciacca,Sicilia,Agrigento,AG,2024,38712
190,084042,Siculiana,Sicilia,Agrigento,AG,2024,4159
190,084043,Villafranca Sicula,Sicilia,Agrigento,AG,2024,1320
190,085001,Acquaviva Platani,Sicilia,Caltanissetta,CL,2024,855
190,085002,Bompensiere,Sicilia,Caltanissetta,CL,2024,479
190,085003,Butera,Sicilia,Caltanissetta,CL,2024,4123
190,085004,Caltanissetta,Sicilia,Caltanissetta,CL,2024,58342
190,085005,Campofranco,Sicilia,Caltanissetta,CL,2024,2596
190,085006,Delia,Sicilia,Caltanissetta,CL,2024,3864
190,085007,Gela,Sicilia,Caltanissetta,CL,2024,70811
190,085008,Marianopoli,Sicilia,Caltanissetta,CL,2024,1561
190,085009,Mazzarino,Sicilia,Caltanissetta,CL,2024,10827
190,085010,Milena,Sicilia,Caltanissetta,CL,2024,2660
190,085011,Montedoro,Sicilia,Caltanissetta,CL,2024,1356
190,085012,Mussomeli,Sicilia,Caltanissetta,CL,2024,9919
190,085013,Niscemi,Sicilia,Caltanissetta,CL,2024,24810
190,085014,Resuttano,Sicilia,Caltanissetta,CL,2024,1717
190,085015,Riesi,Sicilia,Caltanissetta,CL,2024,10401
190,085016,San Cataldo,Sicilia,Caltanissetta,CL,2024,20659
190,085017,Santa Caterina Villarmosa,Sicilia,Caltanissetta,CL,2024,4578
190,085018,Serradifalco,Sicilia,Caltanissetta,CL,2024,5454
190,085019,Sommatino,Sicilia,Caltanissetta,CL,2024,6339
190,085020,Sutera,Sicilia,Caltanissetta,CL,2024,1162
190,085021,Vallelunga Pratameno,Sicilia,Caltanissetta,CL,2024,3057
190,085022,Villalba,Sicilia,Caltanissetta,CL,2024,1390
190,086001,Agira,Sicilia,Enna,EN,2024,7593
190,086002,Aidone,Sicilia,Enna,EN,2024,4185
190,086003,Assoro,Sicilia,Enna,EN,2024,4772
190,086004,Barrafranca,Sicilia,Enna,EN,2024,11617
190,086005,Calascibetta,Sicilia,Enna,EN,2024,4031
190,086006,Catenanuova,Sicilia,Enna,EN,2024,4452
190,086007,Centuripe,Sicilia,Enna,EN,2024,5016
190,086008,Cerami,Sicilia,Enna,EN,2024,1850
190,086009,Enna,Sicilia,Enna,EN,2024,25367
190,086010,Gagliano Castelferrato,Sicilia,Enna,EN,2024,3201
190,086011,Leonforte,Sicilia,Enna,EN,2024,12183
190,086012,Nicosia,Sicilia,Enna,EN,2024,12589
190,086013,Nissoria,Sicilia,Enna,EN,2024,2828
190,086014,Piazza Armerina,Sicilia,Enna,EN,2024,20709
190,086015,Pietraperzia,Sicilia,Enna,EN,2024,6304
190,086016,Regalbuto,Sicilia,Enna,EN,2024,6629
190,086017,Sperlinga,Sicilia,Enna,EN,2024,675
190,086018,Troina,Sicilia,Enna,EN,2024,8423
190,086019,Valguarnera Caropepe,Sicilia,Enna,EN,2024,6837
190,086020,Villarosa,Sicilia,Enna,EN,2024,4328
190,087001,Aci Bonaccorsi,Sicilia,Catania,CT,2024,3559
190,087002,Aci Castello,Sicilia,Catania,CT,2024,17782
190,087003,Aci Catena,Sicilia,Catania,CT,2024,27762
190,087004,Acireale,Sicilia,Catania,CT,2024,50590
190,087005,Aci Sant'Antonio,Sicilia,Catania,CT,2024,18095
190,087006,Adrano,Sicilia,Catania,CT,2024,33720
190,087007,Belpasso,Sicilia,Catania,CT,2024,28133
190,087008,Biancavilla,Sicilia,Catania,CT,2024,22929
190,087009,Bronte,Sicilia,Catania,CT,2024,18198
190,087010,Calatabiano,Sicilia,Catania,CT,2024,5119
190,087011,Caltagirone,Sicilia,Catania,CT,2024,35628
190,087012,Camporotondo Etneo,Sicilia,Catania,CT,2024,5176
190,087013,Castel di Iudica,Sicilia,Catania,CT,2024,4259
190,087014,Castiglione di Sicilia,Sicilia,Catania,CT,2024,2886
190,087015,Catania,Sicilia,Catania,CT,2024,298209
190,087016,Fiumefreddo di Sicilia,Sicilia,Catania,CT,2024,9032
190,087017,Giarre,Sicilia,Catania,CT,2024,26520
190,087018,Grammichele,Sicilia,Catania,CT,2024,12405
190,087019,Gravina di Catania,Sicilia,Catania,CT,2024,25292
190,087020,Licodia Eubea,Sicilia,Catania,CT,2024,2735
190,087021,Linguaglossa,Sicilia,Catania,CT,2024,4963
190,087022,Maletto,Sicilia,Catania,CT,2024,3557
190,087023,Mascali,Sicilia,Catania,CT,2024,14397
190,087024,Mascalucia,Sicilia,Catania,CT,2024,32105
190,087025,Militello in Val di Catania,Sicilia,Catania,CT,2024,6729
190,087026,Milo,Sicilia,Catania,CT,2024,1022
190,087027,Mineo,Sicilia,Catania,CT,2024,4389
190,087028,Mirabella Imbaccari,Sicilia,Catania,CT,2024,4214
190,087029,Misterbianco,Sicilia,Catania,CT,2024,48793
190,087030,Motta Sant'Anastasia,Sicilia,Catania,CT,2024,12060
190,087031,Nicolosi,Sicilia,Catania,CT,2024,7606
190,087032,Palagonia,Sicilia,Catania,CT,2024,15650
190,087033,Paternò,Sicilia,Catania,CT,2024,44970
190,087034,Pedara,Sicilia,Catania,CT,2024,15166
190,087035,Piedimonte Etneo,Sicilia,Catania,CT,2024,3900
190,087036,Raddusa,Sicilia,Catania,CT,2024,2787
190,087037,Ramacca,Sicilia,Catania,CT,2024,10187
190,087038,Randazzo,Sicilia,Catania,CT,2024,10156
190,087039,Riposto,Sicilia,Catania,CT,2024,13991
190,087040,San Cono,Sicilia,Catania,CT,2024,2451
190,087041,San Giovanni la Punta,Sicilia,Catania,CT,2024,23995
190,087042,San Gregorio di Catania,Sicilia,Catania,CT,2024,11501
190,087043,San Michele di Ganzaria,Sicilia,Catania,CT,2024,2844
190,087044,San Pietro Clarenza,Sicilia,Catania,CT,2024,8339
190,087045,Sant'Agata li Battiati,Sicilia,Catania,CT,2024,9271
190,087046,Sant'Alfio,Sicilia,Catania,CT,2024,1514
190,087047,Santa Maria di Licodia,Sicilia,Catania,CT,2024,7530
190,087048,Santa Venerina,Sicilia,Catania,CT,2024,8426
190,087049,Scordia,Sicilia,Catania,CT,2024,16023
190,087050,Trecastagni,Sicilia,Catania,CT,2024,11324
190,087051,Tremestieri Etneo,Sicilia,Catania,CT,2024,19371
190,087052,Valverde,Sicilia,Catania,CT,2024,7839
190,087053,Viagrande,Sicilia,Catania,CT,2024,8935
190,087054,Vizzini,Sicilia,Catania,CT,2024,5649
190,087055,Zafferana Etnea,Sicilia,Catania,CT,2024,9397
