"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"082027","Cefalù","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",13861,"e","dato stimato"
"088002","Chiaramonte Gulfi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",8019,"e","dato stimato"
"082029","Chiusa Sclafani","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2472,"e","dato stimato"
"084015","Cianciana","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3040,"e","dato stimato"
"082030","Ciminna","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3353,"e","dato stimato"
"082031","Cinisi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",11922,"e","dato stimato"
"081007","Custonaci","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",5268,"e","dato stimato"
"085006","Delia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3864,"e","dato stimato"
"083019","Falcone","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2819,"e","dato stimato"
"084017","Favara","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",31451,"e","dato stimato"
"081009","Favignana","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4513,"e","dato stimato"
"089008","Ferla","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2259,"e","dato stimato"
"083020","Ficarra","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1288,"e","dato stimato"
"083021","Fiumedinisi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1337,"e","dato stimato"
"087016","Fiumefreddo di Sicilia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",9032,"e","dato stimato"
"083022","Floresta","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",475,"e","dato stimato"
"089009","Floridia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",21243,"e","dato stimato"
"083023","Fondachelli-Fantina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1097,"e","dato stimato"
"083025","Francavilla di Sicilia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3523,"e","dato stimato"
"089010","Francofonte","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",11676,"e","dato stimato"
"083026","Frazzanò","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",562,"e","dato stimato"
"083027","Furci Siculo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3203,"e","dato stimato"
"083028","Furnari","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4180,"e","dato stimato"
